Year,Butter,Margarine,Lard,Edible beef tallow,Shortening,Salad and cooking oils,Other edible fats and oils,Added fats and oils,Light cream,Half and half,Heavy cream,Sour cream,Cream cheese,Eggnog,Dairy fats,Added fats and oils and dairy fats,Refined cane and beet sugar,High fructose corn syrup,Corn Glucose,Corn Dextrose,Corn sweeteners,Edible syrups,Honey,Added sugars,White and whole wheat,Durum flour,Wheat flour,Rye flour,Rice,Corn Flour and meal,Hominy and grits,Cornstarch,Corn products,Oat products,Barley products,Flour and cereal products*,Fresh Artichokes,Fresh Asparagus,Fresh Bell peppers,Fresh Broccoli,Fresh Brussels sprouts,Fresh Cabbage,Fresh Carrots,Fresh Cauliflower,Fresh Celery,Fresh Collard greens,Fresh Sweet corn,Fresh Cucumbers,Fresh Eggplant,Fresh Escarole /endive,Fresh Garlic,Fresh Head lettuce,Fresh Kale,Fresh Romaine and leaf lettuce,Fresh Lima beans,Fresh Mushrooms,Fresh Mustard greens,Fresh Okra,Fresh Onions,Fresh Potatoes,Fresh Pumpkin,Fresh Radishes,Fresh Snap beans,Fresh Spinach,Fresh Squash,Fresh Sweet potatoes,Fresh Tomatoes,Fresh Turnip greens,Fresh vegetables,Canned Asparagus,Canned Snap beans,Canned Cabbage,Canned Carrots,Canned Sweet corn,Canned Cucumbers,Canned Green peas,Canned Mushrooms,Canned Chile peppers,Canned Potatoes,Canned Tomatoes,Other canned vegetables,Canned vegetables,Frozen Asparagus,Frozen Snap beans,Frozen Broccoli,Frozen Carrots,Frozen Cauliflower,Frozen Sweet corn,Frozen Green peas,Frozen Lima beans,Frozen Potatoes,Frozen Spinach,Other frozen vegetables,Frozen vege-tables,Dehydrated Onions,Dehydrated Potatoes,Dehydrated vegetables,Chips and shoestring potatoes,Dry edible beans,Dry peas and lentils,Legumes,Total vege-tables,Fresh Oranges,Fresh Tangerines,Fresh Grapefruit,Fresh Lemons,Fresh Limes,Fresh citrus,Fresh Apples,Fresh Apricots,Fresh Avocados,Fresh Bananas,Fresh Blueberries,Fresh Cantaloupe,Fresh Cherries,Fresh Cranberries,Fresh Grapes,Fresh Honeydew melons,Fresh Kiwifruit,Fresh Mangoes,Fresh Peaches,Fresh Pears,Fresh Pineapple,Fresh Papayas,Fresh Plums,Fresh Raspberries,Fresh Strawberries,Fresh Watermelon,Fresh noncitrus fruit,Fresh fruit,Canned Apples and applesauce,Canned Apricots,Canned Cherries,Canned Olives,Canned Peaches,Canned Pears,Canned Pineapple,Canned Plums,Canned fruit,Frozen Blackberries,Frozen Blueberries,Frozen Raspberries,Frozen Strawberries,Frozen Other berries,Frozen berries,Frozen Apples,Frozen Apricots,Frozen Cherries,Frozen Peaches,Frozen Plums & prunes,Other frozen,Frozen fruit,Dried Apples,Dried Apricots,Dried Dates,Dried Figs,Dried Peaches,Dried Pears,Dried Plums,Dried Raisins,Dried fruit,Orange Juice,Grapefruit Juice,Lemon Juice,Lime Juice,Citrus juice Juice,Apple Juice,Cranberry Juice,Grape Juice,Pineapple Juice,Prune Juice,Noncitrus juice,Fruit juice,Total Fresh,Total Canned,Total Frozen,Total Dried,Total Juice,Total Fruit,Plain Milk Whole,Plain Milk 2 percent,Plain Milk 1 percent,Plain Milk Skim,Plain milk,Flavored Milk Whole,Flavored Milk Lower fat,Flavored milk,Buttermilk,Beverage milk,Yogurt,Fluid milk products,American Cheese Cheddar,American Cheese Other,American Cheese Total,Italian Cheese Mozzarella,Other Italian cheese,Italian Cheese Total,Swiss cheese,Brick,Muenster,Blue cheese,Other misc. cheeses,Total misc Cheese,Total Cheese,Cottage Cheese Regular,Cottage Cheese Lowfat,Cottage Cheese Total,Ice cream,Lowfat ice cream,Other Frozen Dairy,Total Frozen Dairy,Evaporated and Condensed Canned whole,Evaporated and Condensed Bulk whole,Evaporated and Condensed Skim,Evaporated and Condensed Total,Dry Milk Whole,Dry Milk Nonfat,Dry Milk Buttermilk,Dry Milk Total,Half and half,Eggnog,Cream products,Total dairy,Beef,Veal,Pork,Lamb,Red meat,Chicken,Turkey,Poultry,Fresh and Frozen Fish,Fresh and Frozen Shellfish,Total Fresh and Frozen fish and shellfish,Canned Salmon,Canned Sardines,Canned Tuna,Canned Shellfish,Canned Other,Canned Total,Cured,Fish and shellfish,"Total red meat, poultry, and fish",Eggs,Peanuts,Almonds,Hazelnuts,Pecans,Walnuts,Macadamia nuts,Pistachios,Other nuts,Tree nuts,Coconuts,Nuts,Total Meat,Total Eggs,Total Nuts,"Total Meat, eggs, and nuts","Percentage of daily total Meat, eggs, and nuts",Percentage of daily total Dairy,Percentage of daily total Fruit,Percentage of daily total Vegetables,Percentage of daily total Flour and cereal products,Percentage of daily total Added fats and oils and dairy fats*,Percentage of daily total Caloric sweeteners,Percentage of daily total Total,"Daily caloric total from Meat, eggs, and nuts",Daily caloric total from Dairy,Daily caloric total from Fruit,Daily caloric total from Vegetables,Daily caloric total from Flour and cereal products**,Daily caloric total from Added fats and oils and dairy fats*,Daily caloric total from Sugar and sweeteners (Added),Daily caloric total
1970,29,58.6,16.3,NA,99.6,115.5,18.3,337.4,0.6,2.9,1.7,1.8,1.6,0.1,8.8,346.2,283,1.5,29.9,12.8,44.2,1.8,3.6,332.5,310.7,22.5,333.2,5.3,20.6,22.3,7.1,5,34.4,13.5,2.8,409.8,0.07,0.04,0.23,0.1,0.1,1.29,1.63,0.07,0.69,NA,1.87,0.18,0.04,0.07,0.31,2.02,NA,NA,NA,0.05,NA,NA,2.19,46.31,NA,0.04,0.31,0.04,0.13,1.8,2.15,NA,61.7,0.11,0.55,0.19,0.32,7.59,1.33,1.27,0.17,NA,0.7,3.39,0.55,16.17,0.02,0.29,0.21,0.22,0.06,0.94,1.22,0.61,9.83,0.13,0.4,13.94,0.51,6.65,7.16,26.64,8.96,0.88,9.84,135.44,3.8,0.4,1.1,0.2,0.03,5.5,7.1,0.03,0.4,9.1,NA,0.7,0.1,0.07,1.4,0.08,NA,0.03,1.4,0.9,0.1,0.01,0.5,NA,0.3,1.7,23.8,29.3,3.2,0.23,0.19,1.4,2.2,1.6,2.2,0.07,11.1,0.05,0.09,0.07,0.41,0.03,0.65,0.22,0.02,0.24,0.1,0.02,0.58,1.2,0.29,0.15,0.58,0.48,0.05,0.03,1.7,3.3,6.6,15.4,2.03,0.17,0.01,17.6,2.28,NA,1.23,1.31,0.69,5.5,23.1,29.3,11.1,1.2,6.6,23.1,71.2,114.1,12.2,0.7,3.4,130.4,2.8,1.3,4.1,2,136.6,0.4,137,24.5,3.9,28.4,2.81,2.85,5.66,1.97,0.26,0.48,0.34,1.02,4.07,38.14,2.9,0.2,3.1,28.8,9.4,5.72,43.9,7.2,1.5,3.6,12.3,0.8,14,0.7,15.4,0.4,0.03,0.38,250.3,219.6,3.5,96.7,5.5,325.3,64.7,9.5,74.2,3.8,1.4,5.3,0.9,0.6,2.8,0.5,0.5,5.3,0.5,11.1,410.6,48.3,35.7,1.8,0.3,2.8,2.2,0.2,0.2,3.4,11,3.3,50,410.6,48.3,50,508.9,25,12,3,7,20,17,16,100,509,250,71,135,410,346,333,2054
1971,27.8,58.6,14.7,NA,96.5,117.2,18.3,333.2,0.5,2.7,1.8,2,1.7,0.1,8.7,341.9,284,2.3,31.2,12.9,46.3,1.8,3.2,335.3,309.9,22.1,332,5,18.9,21.4,5.8,5,32.2,13.4,2.2,403.7,0.07,0.03,0.24,0.13,0.1,1.32,1.67,0.06,0.69,NA,1.79,0.17,0.04,0.07,0.21,2.02,NA,NA,NA,0.05,NA,NA,2.32,42.01,NA,0.04,0.3,0.04,0.14,1.63,2.01,NA,57.15,0.11,0.54,0.2,0.3,7.87,1.3,1.26,0.2,NA,0.76,3.73,0.6,16.87,0.02,0.29,0.2,0.21,0.07,0.9,1.3,0.54,10.61,0.14,0.47,14.74,0.64,6.83,7.48,26.28,9.7,0.81,10.51,133.03,3.7,0.4,1.2,0.2,0.03,5.5,6.8,0.04,0.7,9.4,NA,0.7,0.2,0.07,1.2,0.08,NA,0.03,1.4,1.1,0.1,0.01,0.4,NA,0.4,1.7,24.3,29.7,2.9,0.19,0.19,1.5,2.3,1.9,2.2,0.08,11.3,0.07,0.07,0.08,0.44,0.04,0.7,0.2,0.03,0.26,0.1,0.009,0.58,1.3,0.15,0.1,0.58,0.44,0.05,0.03,1.4,3.5,6.3,15.7,2.4,0.19,0.02,18.3,2.52,NA,1.69,1.28,0.64,6.1,24.5,29.7,11.3,1.3,6.3,24.5,73.1,111.5,13.5,1.1,3.7,129.8,3.1,1.2,4.3,2,136,0.5,136.6,25,4.6,29.6,3.27,2.99,6.25,2.09,0.28,0.53,0.36,1.02,4.27,40.1,3,0.3,3.3,28.6,9.32,5.5,43.4,7.1,1.3,3.6,12,0.6,13.8,0.7,15.1,0.3,0.04,0.37,250.8,217.8,3.2,105.6,5.3,331.9,64.6,9.8,74.4,3.7,1.4,5.1,0.9,0.6,2.7,0.5,0.4,5.1,0.5,10.7,417.1,48.5,35.2,2,0.4,3.1,2.6,0.2,0.3,3.4,11.9,3.6,50.8,417.1,48.5,50.8,516.4,25,12,4,6,20,17,16,100,516,251,73,133,404,342,335,2054
1972,26.8,59.3,12.5,NA,101.2,126.3,18.3,344.5,0.5,2.6,1.7,2.1,1.7,0.1,8.7,353.2,284.5,3.2,33.3,12.8,49.4,1.8,3.6,339.2,307.1,23.1,330.2,4.6,18.7,19.8,5.2,5,29.9,13.5,2.2,399,0.08,0.04,0.26,0.13,0.09,1.25,1.78,0.07,0.67,NA,1.86,0.19,0.05,0.07,0.27,2.02,NA,NA,NA,0.06,NA,NA,2.31,43.35,NA,0.04,0.3,0.04,0.14,1.61,2.14,NA,58.82,0.11,0.55,0.18,0.36,7.97,1.27,1.25,0.22,NA,0.76,3.54,0.58,16.78,0.02,0.29,0.2,0.23,0.06,0.87,1.27,0.56,10.91,0.14,0.44,14.99,0.38,6.9,7.28,25.53,8.31,0.97,9.28,132.68,3.4,0.4,1.2,0.2,0.03,5.1,6.4,0.02,0.4,9.4,NA,0.7,0.1,0.06,1.2,0.09,NA,0.03,1,1,0.1,0.01,0.3,NA,0.3,1.6,22.7,27.8,2.6,0.19,0.18,1.2,2,1.7,2.1,0.04,10.1,0.05,0.08,0.06,0.41,0.03,0.62,0.25,0.02,0.25,0.11,0.012,0.62,1.2,0.2,0.1,0.56,0.28,0.05,0.03,1.2,2.5,4.9,17.3,2.38,0.2,0.02,19.9,1.95,NA,1.07,1.22,0.58,4.8,24.7,27.8,10.1,1.2,4.9,24.7,68.7,107.1,15.1,1.7,3.7,127.6,3.5,1.1,4.7,1.9,134.2,0.7,134.8,25.4,5.4,30.8,3.72,3.35,7.07,2.36,0.27,0.6,0.4,1.39,5.02,42.91,2.9,0.4,3.3,28.3,9.32,5.46,43.1,6.3,1.5,3.4,11.2,0.4,12.1,0.6,13.1,0.3,0.05,0.37,248.9,221.3,2.7,95.9,5.5,325.5,66.9,10.5,77.4,4,1.4,5.4,0.9,0.6,3.3,0.5,0.5,5.9,0.5,11.8,414.7,47.4,37,1.9,0.4,3,2.4,0.2,0.2,4.1,12.3,3.9,53.2,414.7,47.4,53.2,515.4,25,12,3,6,19,17,16,100,515,249,69,133,399,353,339,2057
1973,26,58.7,11.7,NA,97.9,132.8,20.7,347.8,0.6,2.6,1.8,2.2,1.8,0.1,9.1,356.9,280.3,5.7,36.3,12.8,54.9,1.8,3.2,340.3,313.9,25.4,339.3,5.6,20.2,18.8,6.2,5.2,30.2,13.4,2.2,410.8,0.07,0.04,0.27,0.14,0.08,1.32,1.83,0.07,0.71,NA,1.9,0.17,0.06,0.07,0.36,2.08,NA,NA,NA,0.08,NA,NA,2.22,39.28,NA,0.04,0.28,0.04,0.15,1.67,2.21,NA,55.13,0.12,0.58,0.17,0.34,7.7,1.33,1.36,0.21,NA,0.8,3.19,0.58,16.38,0.02,0.36,0.22,0.28,0.07,0.97,1.23,0.57,12.57,0.12,0.5,16.91,0.5,7.26,7.76,24.96,10.72,0.67,11.39,132.53,3.4,0.4,1.2,0.2,0.03,5.1,6.7,0.03,0.6,9.5,NA,0.6,0.2,0.07,1.3,0.09,NA,0.04,1.1,1.1,0.1,0.02,0.4,NA,0.3,1.6,23.8,28.9,3.3,0.21,0.12,1.3,1.9,1.9,1.7,0.07,10.6,0.03,0.07,0.05,0.38,0.02,0.56,0.27,0.03,0.32,0.08,0.014,0.7,1.3,0.36,0.13,0.73,0.39,0.02,0.03,1.4,3.4,6.5,17.3,2.54,0.31,0.02,20.2,1.66,NA,1.35,1,0.37,4.4,24.6,28.9,10.6,1.3,6.5,24.6,71.8,101.7,17.1,1.4,4.1,124.4,3.7,1.2,4.9,1.8,131,0.7,131.7,25.7,5.7,31.4,4.17,3.29,7.47,2.35,0.28,0.6,0.42,1.62,5.27,44.13,2.8,0.5,3.2,28.3,9.26,5.36,42.9,6,1.4,3.1,10.4,0.4,13.9,0.5,14.7,0.3,0.04,0.36,247.5,208.9,2.1,86.1,4.5,301.6,63.9,9.9,73.8,4.4,1.3,5.7,0.5,0.8,3.5,0.5,0.7,5.9,0.5,12.1,387.5,45.1,39.1,1.4,0.6,3,2.5,0.2,0.4,3.1,11.1,3.3,53.6,387.5,45.1,53.6,486.2,24,12,4,6,20,17,17,100,486,247,72,133,411,357,340,2046
1974,24.1,58.3,11,NA,97.3,135.6,13.5,339.9,0.7,2.4,1.7,2.5,1.9,0.1,9.3,349.2,266,7.7,38.5,12.6,58.8,1.4,2.5,328.8,311.3,22.1,333.4,5.4,20.3,18.5,7.4,5.5,31.5,13.5,2.3,406.4,0.07,0.03,0.29,0.14,0.11,1.32,1.89,0.07,0.69,NA,1.85,0.19,0.05,0.07,0.45,2.12,NA,NA,NA,0.1,NA,0.03,2.42,36.98,NA,0.04,0.27,0.04,0.15,1.62,2.09,NA,53.09,0.09,0.58,0.19,0.3,7.19,1.35,1.14,0.21,NA,0.82,3.35,0.49,15.71,0.01,0.31,0.22,0.28,0.07,0.95,1.24,0.54,13.25,0.16,0.37,17.4,0.67,8.06,8.72,24.09,7.73,0.85,8.58,127.59,3.4,0.4,1.1,0.2,0.03,5.1,6.8,0.02,1.1,9.7,NA,0.5,0.2,0.06,1.5,0.08,NA,0.05,1.1,1.1,0.1,0.02,0.5,NA,0.4,1.4,24.5,29.5,3.2,0.12,0.18,1.2,2.2,1.8,1.6,0.07,10.3,0.02,0.06,0.04,0.37,0.02,0.52,0.19,0.02,0.2,0.1,0.015,0.51,1,0.29,0.08,0.58,0.35,0.02,0.03,1.3,3.6,6.2,17.9,2.42,0.18,0.02,20.5,2.11,NA,1.44,0.87,0.53,5,25.4,29.5,10.3,1,6.2,25.4,72.6,96.2,16.7,2.8,4.1,119.8,3.4,1.2,4.5,1.7,126,0.7,126.7,26.7,7,33.7,4.4,3.58,7.98,2.63,0.29,0.63,0.38,1.52,5.45,47.11,2.4,0.4,2.9,28.3,9.31,4.92,42.6,5.4,1.5,2.5,9.3,0.3,10.9,0.6,11.7,0.3,0.04,0.34,240.7,222.1,2.8,93.7,3.8,322.4,63.7,10.2,73.9,3.8,1.5,5.2,0.4,0.6,3.5,0.5,0.5,5.5,0.5,11.3,407.6,44.3,37.6,1.4,0.3,2.8,2.6,0.3,0.3,2.5,10,3.1,50.7,407.6,44.3,50.7,502.6,25,12,4,6,20,17,16,100,503,241,73,128,406,349,329,2028
1975,25.6,57.4,11,NA,96.9,134.2,15.8,340.9,0.7,2.4,1.8,2.8,2,0.1,9.6,350.6,247.9,13.6,39,12.2,64.8,1.4,3.6,317.7,321.8,22.1,343.9,4.3,19,19.1,8.7,5.5,33.4,12.6,2.4,415.6,0.07,0.04,0.26,0.18,0.1,1.33,1.76,0.08,0.66,NA,1.86,0.18,0.06,0.06,0.5,2.12,NA,NA,NA,0.11,NA,0.03,2.27,39.44,NA,0.05,0.29,0.04,0.16,1.78,2.12,NA,55.56,0.1,0.53,0.17,0.28,6.4,1.44,1.12,0.22,NA,0.72,3.38,0.54,14.9,0.02,0.24,0.22,0.25,0.07,1.02,1.2,0.46,14.21,0.13,0.42,18.24,0.85,8.16,9.01,23.72,9.68,0.46,10.15,131.57,3.7,0.4,1.1,0.2,0.03,5.5,8.1,0.02,0.6,9.2,NA,0.5,0.2,0.05,1.7,0.09,NA,0.06,1.2,1.2,0.2,0.02,0.4,NA,0.4,1.4,25.4,30.9,2.7,0.19,0.15,1.4,2,1.9,1.8,0.06,10.1,0.04,0.08,0.04,0.43,0.02,0.61,0.1,0.02,0.18,0.1,0.012,0.4,1,0.33,0.13,0.76,0.35,0.05,0.03,1.5,3.4,6.5,19.3,2.52,0.49,0.02,22.3,2.46,NA,1.3,1.01,0.42,5.2,27.5,30.9,10.1,1,6.5,27.5,76,93.4,17.7,4.7,3.4,119.2,3.2,1.5,4.6,1.7,125.5,1,126.5,25.6,6.8,32.4,5,3.59,8.58,2.43,0.24,0.67,0.38,1.43,5.14,46.1,2.4,0.5,2.9,31.3,9.72,4.4,45.5,4.8,1.7,2.6,9,0.3,8.6,0.6,9.4,0.3,0.04,0.33,239.8,228.7,4.8,76.7,3.4,313.6,62.4,9.7,72,4.3,1.5,5.7,0.4,0.3,3.2,0.5,0.5,4.9,0.5,11.1,396.8,43.2,38.8,1.9,0.5,2.7,3.2,0.3,0.2,3.5,12.2,3.1,54.1,396.8,43.2,54.1,494.1,24,12,4,6,21,17,16,100,494,240,76,132,416,351,318,2025
1976,23.3,61.5,9.9,NA,100.4,146.2,16.3,357.7,0.6,2.4,1.9,2.7,2.1,0.1,9.8,367.5,259.7,20,38.6,11.5,70.1,1.4,3.3,334.5,334.6,23.1,357.7,3.5,20.2,18.5,9.7,5.8,34,12,2.5,429.8,0.08,0.04,0.28,0.2,0.11,1.25,1.75,0.09,0.69,NA,1.92,0.19,0.06,0.06,0.33,2.18,NA,NA,NA,0.12,NA,0.02,2.38,37.05,NA,0.04,0.29,0.04,0.17,1.79,2.22,NA,53.37,0.1,0.58,0.18,0.28,6.96,1.44,1.14,0.25,NA,0.7,3.58,0.57,15.78,0.02,0.32,0.24,0.26,0.07,0.94,1.19,0.43,16,0.13,0.46,20.06,0.33,9.07,9.39,24.13,9,0.7,9.7,132.43,3.4,0.4,1.2,0.2,0.04,5.3,7.1,0.03,1,10.1,NA,0.5,0.2,0.07,1.7,0.09,NA,0.07,1.3,1.3,0.2,0.02,0.4,NA,0.3,1.6,25.8,31.1,2.4,0.16,0.1,1.5,2,2.1,1.9,0.08,10.1,0.05,0.06,0.06,0.38,0.03,0.58,0.18,0.02,0.27,0.05,0.012,0.52,1.1,0.34,0.15,0.73,0.37,0.05,0.03,1.3,3.3,6.3,21.4,1.99,0.18,0.02,23.6,2.25,NA,1.25,1,0.48,5,28.6,31.1,10.1,1.1,6.3,28.6,77.3,90,19.2,4.8,3.4,117.4,3.4,1.8,5.2,1.7,124.3,1.1,125.4,27.3,7.9,35.2,5.47,4.01,9.48,2.78,0.23,0.71,0.43,1.33,5.47,50.12,2.5,0.5,2.9,30.4,9.22,4.09,43.7,4.6,1.5,2.6,8.7,0.5,9.2,0.5,10.3,0.3,0.04,0.34,241.4,244.2,4.6,81.1,3.1,333,67.3,10.4,77.7,4.7,1.5,6.3,0.4,0.5,3.2,0.4,0.5,5,0.5,11.8,422.5,42.3,36.5,2.3,0.4,2.3,3.2,0.3,0.2,3.2,11.9,3.1,51.6,422.5,42.3,51.6,516.4,25,11,4,6,20,18,16,100,516,241,77,132,430,367,335,2099
1977,23.2,58.1,8.5,NA,94.5,143.7,15.3,343.3,0.5,2.4,1.8,2.8,2.1,0.1,9.8,353.1,261.9,26.7,38.3,10.8,75.8,1.4,3.3,342.5,322.6,24.4,347,3.2,15.1,21.1,10.7,6,37.8,11.8,2.5,417.4,0.07,0.03,0.3,0.23,0.11,1.24,1.45,0.1,0.66,NA,1.81,0.22,0.06,0.06,0.41,2.33,NA,NA,NA,0.15,NA,0.03,2.39,37.52,NA,0.05,0.27,0.05,0.19,1.56,2.18,NA,53.46,0.08,0.57,0.18,0.28,7.51,1.35,1.21,0.28,NA,0.79,3.43,0.55,16.25,0.02,0.29,0.24,0.28,0.07,1.19,1.12,0.35,16.16,0.14,0.4,20.25,0.58,6.32,6.89,24.88,9.58,0.4,9.98,131.71,3.1,0.5,1,0.2,0.04,4.9,6.8,0.03,1,10,NA,0.5,0.2,0.07,1.7,0.09,NA,0.05,1.3,1.1,0.2,0.03,0.5,NA,0.4,1.6,25.5,30.4,2.7,0.15,0.12,1.7,2,2.1,1.8,0.06,10.7,0.05,0.06,0.06,0.37,0.02,0.56,0.15,0.03,0.26,0.1,0.008,0.53,1.1,0.32,0.15,0.8,0.35,0.05,0.03,1.2,3.3,6.2,20.7,2.65,0.35,0.02,23.7,2.82,NA,0.99,1.16,0.58,5.6,29.3,30.4,10.7,1.1,6.2,29.3,77.6,85.9,20.7,5,3.5,115.1,3.3,2.1,5.4,1.6,122.2,1.2,123.4,28.8,7.8,36.6,5.83,4.03,9.86,2.7,0.19,0.7,0.42,1.37,5.38,51.82,2.4,0.5,2.9,29.8,9.83,3.93,43.5,3.9,1.4,2.8,8.1,0.6,8.7,0.7,10,0.3,0.05,0.34,240.1,237.5,4.5,84.3,2.8,329.1,68.5,10.3,78.7,4.4,1.6,5.9,0.7,0.5,3.1,0.6,0.5,5.3,0.5,11.7,419.5,41.9,36.8,2.4,0.4,2.6,3.1,0.3,0.2,1.7,10.8,3.1,50.6,419.5,41.9,50.6,512,25,12,4,6,20,17,17,100,512,240,78,132,417,353,342,2074
1978,23.6,57.1,7.9,NA,98.3,150.6,16.2,353.7,0.5,2.4,1.8,2.9,2.4,0.1,10,363.8,254.3,29.9,38.7,10.3,78.9,1.4,3.9,338.5,324.4,21.8,346.2,3.3,25.2,21.7,10,6.6,38.3,11.4,2.7,427,0.07,0.03,0.29,0.18,0.11,1.28,1.45,0.07,0.67,NA,1.58,0.24,0.06,0.06,0.43,2.26,NA,NA,NA,0.18,NA,0.07,2.36,34.44,NA,0.04,0.25,0.05,0.19,1.63,2.28,NA,50.27,0.07,0.57,0.17,0.24,7.11,1.42,1.15,0.29,NA,0.81,3.21,0.54,15.58,0.01,0.29,0.31,0.28,0.09,1.04,1.13,0.41,16.29,0.14,0.4,20.38,0.56,6.7,7.27,25.3,7.24,0.75,8,126.79,3.1,0.4,1.1,0.2,0.03,4.9,7.4,0.02,1.1,10.5,NA,0.7,0.1,0.07,1.4,0.13,NA,0.08,1.5,1,0.2,0.03,0.5,NA,0.4,1.5,26.8,31.7,3.1,0.14,0.09,2.6,1.8,1.8,1.8,0.06,11.4,0.04,0.05,0.05,0.41,0.02,0.57,0.23,0.02,0.26,0.1,0.006,0.61,1.2,0.31,0.1,0.76,0.37,0.02,0.03,1.1,2.9,5.5,17.8,2.82,0.37,0,21,3.43,NA,1.73,1.19,0.48,6.8,27.8,31.7,11.4,1.2,5.5,27.8,77.6,82.8,21.7,5.3,3.4,113.2,3.1,2.2,5.2,1.6,120,1.2,121.2,29.4,8.4,37.7,6.34,4.39,10.73,2.97,0.2,0.74,0.45,1.28,5.63,54.09,2.4,0.5,2.9,29.6,9.79,3.67,43.1,3.8,1.3,2.5,7.6,0.9,8.2,0.6,9.7,0.3,0.05,0.34,239,226.1,3.4,84.4,2.6,316.5,71.7,10.2,82,4.8,1.4,6.3,0.8,0.5,3.7,0.5,0.4,5.8,0.4,12.5,410.9,42.6,38.9,2.1,0.5,2.7,2.4,0.3,0.2,2.5,10.8,3.3,52.9,410.9,42.6,52.9,506.4,24,11,4,6,21,17,16,100,506,239,78,127,427,364,339,2079
1979,24.3,56.2,8.3,1.4,101.5,155.9,13.3,361.1,0.5,2.4,2,3,2.5,0.1,10.5,371.5,248.4,41,37.5,9.9,88.4,1.4,3.7,342,325.9,23.8,349.7,3.1,25.3,22.7,9.7,7.1,39.4,11.2,2.7,431.3,0.09,0.02,0.31,0.22,0.12,1.2,1.61,0.1,0.67,NA,1.55,0.24,0.06,0.06,0.64,2.26,NA,NA,NA,0.2,NA,0.07,2.48,36.97,NA,0.04,0.26,0.06,0.21,1.68,2.2,NA,53.31,0.06,0.56,0.17,0.27,6.73,1.37,1.04,0.3,NA,0.76,3.51,0.47,15.24,0.01,0.3,0.3,0.29,0.08,1.12,1.2,0.45,14.74,0.14,0.37,19,0.83,6.21,7.04,25.52,8.94,0.61,9.55,129.65,2.7,0.4,1,0.2,0.04,4.2,7.1,0.02,0.7,11,NA,0.6,0.2,0.05,1.6,0.13,NA,0.08,1.6,1,0.2,0.02,0.5,NA,0.4,1.4,26.7,31,3.3,0.14,0.09,1.3,1.9,2.2,1.9,0.05,10.9,0.03,0.06,0.04,0.38,0.02,0.51,0.16,0.02,0.21,0.08,0.012,0.47,1,0.35,0.15,0.58,0.37,0.02,0.03,0.9,3.4,5.9,18.4,2.7,0.2,0.01,21.3,3.81,NA,1.31,1.4,0.53,7,28.4,31,10.9,1,5.9,28.4,77.1,79.7,22.9,5.3,3.4,111.4,2.8,2.2,5,1.5,117.9,1.2,119.1,29.3,8.6,38,6.63,4.57,11.2,3.01,0.17,0.78,0.42,1.32,5.7,54.86,2.3,0.5,2.8,29.2,9.26,3.43,41.8,3.7,1.3,2.4,7.5,1.1,8.7,0.5,10.2,0.3,0.05,0.34,236.7,202.2,2.4,96.8,2.5,303.9,77.5,10.8,88.4,4.7,1.4,6.1,0.7,0.5,3.6,0.5,0.4,5.6,0.4,12.1,404.4,43.4,39.5,2,0.2,3.3,2.7,0.4,0.2,2.3,11.2,2.8,53.4,404.4,43.4,53.4,501.2,24,11,4,6,21,18,16,100,501,237,77,130,431,372,342,2089
1980,24.2,56.4,8.5,3.8,97,159.5,12,361.4,0.4,2.4,2.2,3,2.7,0.1,10.9,372.3,232.6,52.7,35.9,9.6,98.3,1.6,3,335.4,329.6,21.5,351.1,3.1,29.4,23.6,9.1,7.1,39.8,11.1,2.7,437.1,0.08,0.03,0.31,0.26,0.09,1.19,1.68,0.1,0.7,NA,1.56,0.24,0.06,0.06,0.59,2.31,NA,NA,NA,0.21,NA,0.06,2.46,38.3,NA,0.04,0.26,0.06,0.22,1.46,2.27,NA,54.6,0.07,0.54,0.16,0.27,6.94,1.27,1.07,0.27,0.53,0.69,3.47,0.5,15.77,0.01,0.29,0.32,0.26,0.09,1.05,1.13,0.42,13.55,0.15,0.33,17.61,0.33,5.42,5.75,25.26,7.65,0.62,8.27,127.25,3.3,0.4,1,0.2,0.05,4.9,8,0.03,1.8,10.8,0.1,0.6,0.2,0.05,1.9,0.12,NA,0.09,1.8,1.2,0.2,0.03,0.5,NA,0.4,1.3,29,33.9,2.9,0.13,0.14,1.9,1.9,2.2,1.8,0.04,11.1,0.01,0.08,0.04,0.43,0.01,0.57,0.17,0.02,0.2,0.1,0.014,0.49,1.1,0.26,0.08,0.31,0.28,0.02,0.03,1.1,3.8,5.9,20.4,2.05,0.26,0.02,22.8,4.66,NA,1.4,1.5,0.48,8,30.8,33.9,11.1,1.1,5.9,30.8,82.7,75.7,23.9,5.6,3.4,108.7,2.4,2.3,4.7,1.5,114.8,1.3,116.1,29,9,37.9,7.12,4.46,11.58,2.95,0.18,0.85,0.4,1.56,5.93,55.46,2.2,0.6,2.8,29.5,9.05,3.28,41.8,3.5,1.2,2.4,7.1,1,7.9,0.5,9.4,0.3,0.05,0.34,233,198.2,2.1,103.9,2.6,306.8,77.2,12,89.2,4.6,1.5,6,0.7,0.5,3.4,0.4,0.1,5,0.4,11.4,407.4,42.5,32,2.3,0.3,3,3.1,0.5,0.3,2,11.4,2.7,46.1,407.4,42.5,46.1,496.1,24,11,4,6,21,18,16,100,496,233,83,127,437,372,335,2084
